id_miembro,fec_registro,id_ciudad,genero,rango_edad,canal_pref,activo,fec_ultima_compra
1,2021-08-23,San Felipe,F,36-45,Ecommerce,True,2025-11-20
2,2024-10-12,Florencia,M,26-35,Tienda fisica,True,2026-08-05
3,2023-10-31,La Apartada,,26-35,Tienda fisica,False,2025-12-28
4,2024-06-28,Pinchote,F,36-45,Tienda fisica,True,2026-01-20
5,2022-04-04,Santa Isabel,F,26-35,Tienda fisica,True,2026-06-27
6,2024-07-14,Amalfi,F,46-60,Tienda fisica,True,2026-05-09
7,2022-06-01,Onzaga,F,,Marketplace,True,2026-04-14
8,2024-10-01,Flandes,M,26-35,Tienda fisica,True,2026-07-16
9,2022-10-31,Puerto Berrío,F,60+,Ecommerce,True,2025-08-22
10,2025-08-12,Sabanalarga,F,60+,Tienda fisica,True,2026-08-21
11,2022-06-09,Fonseca,M,26-35,Ecommerce,True,2025-09-17
12,2022-04-13,Viterbo,M,26-35,Marketplace,True,2026-06-25
13,2023-05-14,Garzón,F,,Ecommerce,True,2026-03-30
14,2023-06-21,Morelia,M,36-45,Tienda fisica,True,2026-04-17
15,2023-10-17,Suesca,F,26-35,Tienda fisica,True,2026-03-30
16,2023-04-02,Bajo Baudó,M,36-45,Ecommerce,True,2026-06-26
17,2023-05-10,La Vega,F,26-35,Tienda fisica,True,2025-12-11
18,2023-08-29,San Fernando,F,36-45,Tienda fisica,True,2025-12-26
19,2023-07-17,San Francisco,F,46-60,Tienda fisica,True,2025-12-08
20,2025-03-02,Pachavita,F,18-25,Ecommerce,True,2026-04-04
21,2023-10-07,Pueblo Nuevo,M,36-45,Tienda fisica,True,2026-05-04
22,2023-11-20,Sogamoso,No informado,18-25,Tienda fisica,False,2026-08-02
23,2022-01-01,Villanueva,M,36-45,Tienda fisica,True,2025-09-24
24,2024-06-21,El Bagre,F,26-35,Tienda fisica,True,2025-09-02
25,2021-09-13,Los Córdobas,M,46-60,Tienda fisica,True,2026-07-07
26,2022-01-05,Montenegro,F,60+,Tienda fisica,True,2025-08-17
27,2022-06-18,Carmen de Apicalá,M,26-35,Ecommerce,False,2026-04-28
28,2022-10-19,Sesquilé,F,36-45,Tienda fisica,True,2025-09-12
29,2024-05-17,Nariño,F,26-35,Tienda fisica,False,2025-09-26
30,2025-01-04,Nariño,F,18-25,Tienda fisica,True,2025-10-21
31,2022-06-08,La Sierra,M,26-35,Ecommerce,True,2026-08-14
32,2022-10-18,Granada,F,46-60,Marketplace,True,2026-08-30
33,2022-04-06,Sasaima,M,36-45,Tienda fisica,True,2025-11-15
34,2023-06-05,Tenza,F,46-60,Marketplace,True,2026-01-28
35,2021-12-27,Cartago,F,18-25,Tienda fisica,False,2026-06-03
36,2025-05-05,Giraldo,,46-60,Marketplace,True,2026-06-01
37,2025-03-24,Yopal,M,26-35,Ecommerce,True,2026-08-24
38,2025-05-23,Momil,F,36-45,Ecommerce,True,2026-01-29
39,2024-05-10,Covarachía,M,46-60,Tienda fisica,True,2025-10-15
40,2025-01-26,Saravena,M,18-25,Marketplace,True,2025-10-28
41,2025-07-06,Mongua,F,36-45,Tienda fisica,False,2026-03-15
42,2022-05-08,Yavaraté,F,46-60,Ecommerce,True,2025-11-15
43,2025-01-13,Zaragoza,F,18-25,Ecommerce,True,2026-05-20
44,2022-04-09,Fosca,F,36-45,Tienda fisica,True,2026-07-09
45,2023-01-15,Viotá,F,60+,Tienda fisica,True,2026-07-13
46,2023-03-07,Patía,M,26-35,Tienda fisica,True,2025-09-15
47,2025-03-13,Jardín,M,18-25,Tienda fisica,True,2026-08-22
48,2025-08-12,Colosó,F,60+,Tienda fisica,True,2026-05-09
49,2025-02-07,Chitaraque,F,26-35,Tienda fisica,True,2026-05-04
50,2024-05-17,Íquira,F,36-45,Tienda fisica,True,2026-04-07
51,2021-10-01,Calamar,F,36-45,Ecommerce,True,2026-04-20
52,2024-01-12,Pueblo Nuevo,M,46-60,Tienda fisica,True,2026-04-16
53,2024-09-20,Sabanalarga,F,,Tienda fisica,False,2026-07-26
54,2024-07-05,Sabanas de San Ángel,F,26-35,Ecommerce,True,2025-08-10
55,2024-04-20,Rivera,M,18-25,Ecommerce,True,2026-07-29
56,2023-04-17,Puerto Lleras,F,36-45,Marketplace,True,2026-01-16
57,2022-05-14,Gómez Plata,M,36-45,Tienda fisica,True,2025-11-08
58,2025-06-03,Ramiriquí,F,26-35,Ecommerce,True,2025-08-25
59,2022-06-30,Buenaventura,M,26-35,Tienda fisica,True,2026-08-23
60,2025-08-06,El Rosario,F,,Tienda fisica,True,2025-08-31
61,2024-05-10,Papunahua,M,60+,Ecommerce,True,2026-03-10
62,2023-04-07,Sardinata,F,,Tienda fisica,False,2026-04-12
63,2025-03-31,Nunchía,F,46-60,Tienda fisica,True,2026-08-21
64,2024-08-04,Olaya Herrera,F,18-25,Ecommerce,True,2026-02-24
65,2023-01-21,Arcabuco,F,46-60,Tienda fisica,True,2026-04-27
66,2022-11-10,Bolívar,F,36-45,Ecommerce,True,2026-04-04
67,2025-05-03,Zipaquirá,F,36-45,Tienda fisica,True,2025-09-24
68,2022-06-26,San Pedro,F,18-25,Tienda fisica,True,2026-08-18
69,2024-01-01,Colombia,M,18-25,Tienda fisica,True,2026-01-15
70,2023-03-03,Betulia,,26-35,Marketplace,True,2025-08-11
71,2024-10-21,Ocamonte,M,18-25,Tienda fisica,True,2025-11-10
72,2021-08-12,Pulí,M,26-35,Tienda fisica,True,2025-09-28
73,2022-07-21,Santa Rosalía,F,60+,Ecommerce,True,2025-08-12
74,2023-01-14,Aguadas,,60+,Marketplace,True,2026-08-22
75,2024-11-30,Curillo,M,46-60,Ecommerce,True,2026-05-31
76,2022-07-03,Puracé,F,36-45,Tienda fisica,True,2026-05-17
77,2024-02-16,El Doncello,M,36-45,Ecommerce,True,2025-09-10
78,2023-01-17,Barrancominas,F,60+,Ecommerce,True,2026-07-02
79,2023-01-03,Toledo,M,36-45,Tienda fisica,True,2026-08-03
80,2022-05-15,Nocaima,M,18-25,Ecommerce,True,2025-09-01
81,2022-03-30,Salamina,F,36-45,Ecommerce,False,2026-07-21
82,2024-01-28,Zona Bananera,M,18-25,Ecommerce,True,2026-08-07
83,2025-05-06,Belmira,F,46-60,Ecommerce,True,2026-07-13
84,2023-11-23,La Argentina,F,46-60,Ecommerce,True,2025-10-09
85,2024-01-13,Belén de Umbría,M,,Tienda fisica,True,2026-06-22
86,2024-04-20,Viotá,M,26-35,Ecommerce,True,2025-12-30
87,2023-09-03,Morroa,,36-45,Ecommerce,True,2026-04-14
88,2023-04-24,Turbaco,F,46-60,Ecommerce,True,2026-01-08
89,2023-02-12,Roncesvalles,F,36-45,Ecommerce,True,2025-10-15
90,2024-02-21,San José del Palmar,F,26-35,Marketplace,True,2026-05-16
91,2023-02-23,Santa Rosa de Viterbo,M,18-25,Ecommerce,True,2025-12-02
92,2021-08-15,El Tarra,M,46-60,Ecommerce,True,2026-01-08
93,2023-01-02,Imués,F,36-45,Tienda fisica,False,2025-08-18
94,2023-03-15,Taraira,F,26-35,Tienda fisica,True,2025-12-16
