art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
1,0143888993757,In dolore,Electronica y tecnologia,Elec-3,Elec-2-2,360,190100.0,16.54,UN,True,2025-11-28
2,6798250714610,Molestias impedit,Hogar y limpieza,Hoga-2,Hoga-1-2,346,177000.0,11.51,KG,True,2025-10-06
3,1254573875711,Ipsum sapiente,Electronica y tecnologia,Elec-1,Elec-1-1,223,115300.0,9.72,UN,True,2026-01-07
4,7751401051230,Nobis eveniet,Electronica y tecnologia,Elec-1,Elec-2-1,355,82200.0,19.86,KG,True,2025-12-06
5,8282586736227,Rem hic,Ropa y calzado basico,Ropa-3,Ropa-2-2,670,182200.0,14.46,UN,True,2026-02-18
6,6609379660330,Nobis quia,Cuidado personal e higiene,Cuid-2,Cuid-3-1,402,93500.0,19.06,UN,True,2026-01-09
7,4191825537140,Illo minima,Electronica y tecnologia,Elec-1,Elec-2-2,553,44200.0,1.48,UN,True,2025-12-02
8,7859696915579,Quam error,Cuidado personal e higiene,Cuid-3,Cuid-3-2,335,81600.0,4.28,UN,True,2026-02-16
9,9249912513418,Voluptatum consequuntur,Ropa y calzado basico,Ropa-3,Ropa-3-2,566,219500.0,0.67,UN,True,2025-10-08
10,2528669296629,Accusantium rem,Ropa y calzado basico,Ropa-2,Ropa-1-1,570,72300.0,17.36,UN,True,2025-12-26
11,7828274225799,Accusantium earum,Electronica y tecnologia,Elec-1,Elec-2-2,423,60300.0,,UN,True,2025-10-18
12,0507236887677,Laborum quos,Bebes y maternidad,Bebe-3,Bebe-2-1,748,35100.0,3.59,UN,True,2025-12-03
13,6772190340436,Veritatis laborum,Electronica y tecnologia,Elec-1,Elec-2-2,701,15700.0,19.49,UN,True,2025-12-08
14,8427978819144,Provident pariatur,Alimentos y bebidas,Alim-2,Alim-1-2,127,244200.0,19.12,UN,True,2026-01-01
15,8580783613403,Deleniti minus,Electronica y tecnologia,Elec-3,Elec-3-2,183,135100.0,4.53,KG,True,2025-11-05
16,7451713395960,Eaque vero,Ropa y calzado basico,Ropa-2,Ropa-3-1,764,183000.0,12.96,KG,True,2026-01-14
17,2923309584980,Ea voluptate,Alimentos y bebidas,Alim-1,Alim-1-2,322,193700.0,13.38,UN,True,2025-10-10
18,2544948126043,Pariatur laudantium,Alimentos y bebidas,Alim-1,Alim-1-1,249,89400.0,0.13,LT,True,2025-10-07
19,2232536729461,Aliquid ea,Cuidado personal e higiene,Cuid-2,Cuid-1-2,637,200100.0,13.79,KG,True,2025-09-25
20,6711684577590,Porro tempora,Bebes y maternidad,Bebe-3,Bebe-3-1,482,240400.0,4.47,UN,True,2025-12-09
21,0175186363741,Aut sequi,Electronica y tecnologia,Elec-3,Elec-2-1,107,186000.0,18.03,UN,True,2025-11-25
22,5458929750011,Dolor molestias,Bebes y maternidad,Bebe-1,Bebe-1-2,74,178500.0,16.78,UN,True,2026-02-16
23,7012770632421,Inventore ea,Bebes y maternidad,Bebe-1,Bebe-3-1,647,109200.0,18.11,LT,True,2025-11-10
24,4154152064369,Culpa ab,Electronica y tecnologia,Elec-3,Elec-2-2,612,210600.0,15.16,UN,True,2025-12-29
25,1103712938704,Doloribus ex,Ropa y calzado basico,Ropa-1,Ropa-2-1,283,24000.0,3.34,UN,True,2026-03-16
26,0516271361110,Quo nulla,Cuidado personal e higiene,Cuid-1,Cuid-2-1,690,187900.0,7.24,LT,True,2026-01-05
27,5542622189091,Dolorem quas,Alimentos y bebidas,Alim-2,Alim-2-1,101,91800.0,14.19,UN,True,2026-02-22
28,2753269731120,Quo aliquam,Hogar y limpieza,Hoga-2,Hoga-2-1,696,142400.0,6.5,UN,True,2025-12-14
29,1965652341385,Porro expedita,Electronica y tecnologia,Elec-1,Elec-1-1,64,223500.0,14.22,UN,True,2025-10-10
30,9994043898360,Nostrum nesciunt,Cuidado personal e higiene,Cuid-1,Cuid-2-1,509,152000.0,6.76,KG,True,2025-12-02
31,4037613791809,Tempore inventore,Cuidado personal e higiene,Cuid-1,Cuid-3-2,675,8300.0,3.6,UN,True,2026-02-01
32,5526965827100,Reiciendis possimus,Alimentos y bebidas,Alim-2,Alim-2-1,496,181200.0,10.39,UN,True,2025-09-27
33,9104300684869,Animi minus,Ropa y calzado basico,Ropa-1,Ropa-3-1,623,232400.0,13.74,UN,True,2025-12-09
34,6618892414184,Totam soluta,Bebes y maternidad,Bebe-1,Bebe-2-1,276,161200.0,10.37,UN,True,2025-12-16
35,3285691463038,Ipsam repellendus,Ropa y calzado basico,Ropa-2,Ropa-3-1,231,215600.0,12.86,LT,True,2026-03-08
36,1617990421020,Voluptatum sit,Hogar y limpieza,Hoga-1,Hoga-1-1,213,206700.0,8.79,UN,True,2026-03-18
37,0275884252412,A vero,Electronica y tecnologia,Elec-1,Elec-3-1,94,215600.0,15.58,UN,True,2026-01-03
38,0564814917782,Suscipit cum,Bebes y maternidad,Bebe-2,Bebe-1-2,222,87300.0,13.02,KG,True,2025-10-16
39,5079252419132,Recusandae necessitatibus,Electronica y tecnologia,Elec-1,Elec-1-1,198,119600.0,11.51,UN,False,2025-10-14
40,8000307562203,Ut suscipit,Cuidado personal e higiene,Cuid-2,Cuid-1-1,606,212300.0,8.74,UN,True,2026-01-01
41,8635365419512,Fugiat est,Hogar y limpieza,Hoga-2,Hoga-1-1,171,227800.0,10.74,LT,True,2025-10-13
42,8023806174456,Ut excepturi,Ropa y calzado basico,Ropa-2,Ropa-3-1,133,38400.0,1.07,KG,False,2026-01-16
43,1870534949378,Laborum neque,Hogar y limpieza,Hoga-2,Hoga-3-1,587,47000.0,13.35,UN,True,2026-03-16
44,5973832060380,Dicta eaque,Bebes y maternidad,Bebe-3,Bebe-3-1,431,88000.0,4.13,UN,True,2025-10-11
