id_proveedor,razon_social,pais_origen,tiempo_repo_dias,calificacion_calidad,activo
1,"González, Villamizar and Vargas",Colombia,1,5.0,True
2,Galvis Ltd,Peru,5,4.8,True
3,"Galindo, García and Salazar",Peru,8,4.2,True
4,López and Sons,Chile,13,4.8,True
5,"Agudelo, Londoño and Becerra",Chile,11,4.0,True
6,"Vásquez, Torres and Fernández",Ecuador,11,4.1,True
7,Uribe and Sons,Colombia,8,3.3,True
8,"Salazar, Castro and Rojas",Peru,2,4.2,True
9,López-Rivera,Mexico,6,4.0,False
10,Sanabria-Agudelo,Colombia,14,3.2,True
11,Ariza PLC,Chile,1,4.0,True
12,Cardozo Group,Ecuador,13,4.0,True
13,Caicedo Ltd,Peru,10,5.0,True
14,"Rivas, Morales and Ramírez",Peru,4,4.5,True
15,Gómez and Sons,Peru,11,4.0,True
16,Bustamante-Ordóñez,Peru,12,4.1,True
17,Rivera Group,Chile,1,4.0,True
18,"Palacio, Pérez and Mosquera",Colombia,2,3.9,True
19,"Ortiz, Cuesta and Jaimes",Ecuador,10,3.4,True
20,"Acevedo, Lozano and Vargas",Chile,14,3.9,True
21,Rivera-Villamil,Chile,1,3.6,True
22,"Pacheco, Torres and Valencia",Mexico,10,3.2,True
23,Torres Inc,Colombia,2,4.3,True
24,Castillo-Martínez,Ecuador,10,4.2,True
25,"Pardo, Álvarez and Hoyos",Peru,9,2.9,False
26,Loaiza-Franco,Peru,2,3.9,True
27,Ortiz and Sons,Chile,10,4.6,True
28,"Londoño, Muñoz and Orozco",Ecuador,13,4.6,False
29,"Castillo, Torres and Bolívar",Chile,13,4.6,True
30,"Rincón, Tovar and Prieto",Chile,1,4.0,True
31,Pineda Ltd,Chile,4,3.5,True
32,Hurtado-Flórez,Mexico,4,3.3,True
33,"Orjuela, Contreras and Domínguez",Colombia,7,4.2,True
34,Duarte Inc,Chile,3,4.2,True
35,"Loaiza, Espinosa and Solano",Ecuador,12,4.8,True
36,González-Mejía,Colombia,11,4.7,True
37,Rodríguez-Camargo,Ecuador,12,3.9,True
38,"Ortiz, Sierra and Díaz",Ecuador,3,3.3,True
39,Polo LLC,Mexico,1,3.8,False
40,"Palacios, Ramírez and Arias",Peru,13,4.1,True
41,Montoya PLC,Colombia,5,3.9,True
42,Carvajal Group,Peru,10,3.7,True
43,González LLC,Peru,13,4.2,True
44,Moreno-Moreno,Mexico,1,3.7,True
45,"Erazo, García and Reyes",Colombia,1,,False
46,Mantilla PLC,Ecuador,1,4.2,True
47,Hernández Group,Chile,3,3.8,True
48,"Pérez, Silva and Calderón",Ecuador,1,4.1,True
49,Oviedo Ltd,Peru,12,4.2,True
50,"Ramírez, Álvarez and Barragán",Peru,9,3.3,True
51,"Arias, Maldonado and Cárdenas",Peru,14,3.7,True
52,Torres LLC,Colombia,12,4.9,True
53,Fernández and Sons,Mexico,14,,True
54,"Torres, García and Barrera",Chile,4,2.7,True
55,Martínez Inc,Chile,5,,False
56,García-Moreno,Colombia,12,4.0,True
57,"Reyes, Montoya and Vanegas",Chile,4,4.0,True
58,"Escobar, Vargas and Ortega",Colombia,1,3.9,True
59,Ramírez-López,Peru,10,4.7,True
60,Mosquera-Peña,Peru,12,2.4,True
61,"Martínez, Arango and Jaimes",Ecuador,14,4.2,True
62,Castillo LLC,Peru,13,4.9,True
63,Vargas and Sons,Mexico,2,3.3,True
64,"Cardona, Salazar and Castro",Ecuador,11,3.8,True
65,Pulido Inc,Chile,12,3.5,True
66,Montes-Ordóñez,Mexico,10,3.5,False
67,Martínez PLC,Ecuador,12,3.8,True
68,Tamayo and Sons,Mexico,12,4.9,True
69,Parra Group,Colombia,7,5.0,True
70,Leal Inc,Chile,1,3.8,True
71,Rivera Group,Peru,7,5.0,True
72,Carmona-Serna,Colombia,3,4.0,True
73,Salazar-Yepes,Chile,2,5.0,True
74,"Durán, Reyes and Díaz",Colombia,2,3.9,True
75,Tamayo PLC,Peru,10,4.1,True
76,"Ríos, Cano and Martínez",Chile,8,4.2,True
77,"Acosta, Villegas and Contreras",Mexico,8,,True
78,Salamanca Inc,Mexico,11,4.5,True
79,García Inc,Chile,8,3.6,True
80,"Prieto, Parra and Ibarra",Peru,9,4.6,True
81,"Vargas, Hurtado and Beltrán",Ecuador,2,3.8,True
82,Navarro-Ospina,Chile,12,3.7,False
83,Betancur-Ramírez,Colombia,7,,True
84,"Álvarez, Ortiz and Hernández",Ecuador,3,4.0,True
85,"Suárez, Ruiz and Espinosa",Peru,12,,True
86,Rodríguez PLC,Peru,11,4.0,True
87,"Orjuela, García and Rojas",Colombia,1,4.2,True
88,Hernández-Romero,Mexico,3,4.3,True
89,Cuéllar LLC,Peru,1,2.8,False
90,Sánchez-Palacio,Ecuador,4,4.4,True
91,"Suárez, Castrillón and Arévalo",Chile,2,3.4,False
92,"Rodríguez, Ayala and Suárez",Ecuador,10,3.1,False
93,"López, Monsalve and Ortiz",Ecuador,8,4.0,True
94,Villamizar and Sons,Mexico,14,4.1,True
95,Castro-Rojas,Ecuador,11,3.6,True
96,Ramírez-Acevedo,Mexico,9,4.5,False
97,Mora-Vargas,Mexico,8,,True
98,López Group,Peru,1,3.8,True
99,Gómez-Quintero,Peru,1,3.6,True
100,Henao LLC,Colombia,9,4.0,True
101,Mena PLC,Ecuador,1,4.2,True
102,"Osorio, Rodríguez and García",Colombia,1,3.4,True
103,"Rentería, Vásquez and Palacio",Ecuador,4,4.4,False
104,"Cortés, Osorio and Gómez",Colombia,13,4.0,True
105,Maldonado-Rosero,Peru,7,2.9,True
106,Maldonado and Sons,Peru,10,2.8,True
107,"Vargas, López and Patiño",Peru,6,,True
108,Quiroz-Zambrano,Peru,3,3.9,True
109,Leal and Sons,Chile,6,3.9,True
110,Rodríguez-Galvis,Peru,2,4.0,True
111,Ocampo-Peña,Mexico,11,4.1,True
112,"Alvarado, Arrieta and Ortiz",Peru,3,4.6,True
113,"González, Bohórquez and Andrade",Chile,6,3.3,True
114,Ramírez Group,Chile,14,3.3,True
115,Suárez-Rosero,Chile,9,3.3,True
116,Torres Ltd,Chile,7,4.2,True
117,Castillo LLC,Colombia,8,4.7,True
118,Parada LLC,Colombia,11,3.7,True
119,Bedoya-Castillo,Mexico,4,2.5,True
120,"Valencia, Gómez and Monsalve",Colombia,9,3.0,True
121,Díaz-Burgos,Chile,13,,False
122,Gómez-Hurtado,Peru,9,3.7,True
123,Padilla-Álvarez,Peru,7,3.8,True
124,"Bustamante, González and Maldonado",Chile,3,4.0,True
125,Muñoz Ltd,Ecuador,4,3.8,True
126,Rodríguez-Velandia,Chile,14,4.6,True
127,"Pacheco, Ballesteros and Daza",Colombia,8,3.6,True
128,Morales Inc,Peru,5,3.5,True
129,"Cáceres, Trujillo and Vergara",Chile,6,4.3,True
130,Pinzón LLC,Peru,9,3.1,True
131,"Álvarez, Parra and Castillo",Chile,8,4.2,True
132,Cortés-Ramírez,Chile,10,4.1,True
133,"Ballesteros, Buitrago and Pabón",Colombia,4,3.9,True
134,"Jaramillo, Parra and Palacio",Chile,10,5.0,False
135,Gutiérrez-Osorio,Peru,7,3.6,True
136,"Calderón, Ruiz and Marín",Mexico,14,5.0,True
137,"Rojas, Ortega and Galeano",Peru,3,3.9,True
138,"Pérez, García and Molina",Colombia,3,3.2,True
139,"Beltrán, López and Cantillo",Mexico,7,4.0,True
140,Sandoval and Sons,Chile,8,3.4,True
141,Sánchez Inc,Ecuador,10,3.5,True
142,Castrillón PLC,Mexico,6,4.2,True
143,Cárdenas Ltd,Mexico,13,4.3,True
144,"Ramírez, Benavides and Zapata",Chile,7,3.6,True
145,Sánchez Ltd,Ecuador,2,4.6,True
146,Galindo Inc,Ecuador,2,4.7,True
147,Torres-Cifuentes,Colombia,14,4.9,True
148,"Delgado, Martínez and Vargas",Mexico,2,4.3,False
149,Cruz Group,Ecuador,14,4.8,False
150,"Contreras, Velásquez and Ruiz",Colombia,4,2.9,False
151,Ávila-Pinzón,Ecuador,2,3.8,True
152,"Osorio, Fajardo and Marín",Mexico,5,,True
153,Sarmiento Group,Ecuador,9,4.1,True
154,Muñoz-Vargas,Mexico,6,3.7,True
155,"Castro, Castaño and Reyes",Chile,11,3.9,True
156,Castro Inc,Peru,9,,True
157,"Gutiérrez, Ortiz and Ruiz",Colombia,6,3.9,False
158,"García, Sánchez and Flórez",Chile,9,4.2,True
159,Toro Inc,Chile,14,3.9,True
160,Parra-Ríos,Peru,6,4.0,True
161,Martínez-Roa,Ecuador,3,4.0,True
162,Espitia-Orozco,Peru,6,4.3,True
163,"Rodríguez, Rangel and Escobar",Chile,12,4.7,True
164,Rodríguez-Romero,Chile,4,5.0,True
165,Márquez-Posada,Chile,14,4.2,True
166,Montoya-Galvis,Ecuador,9,4.4,True
167,"Burbano, Reyes and Castro",Mexico,9,3.3,True
168,Gómez-Quintero,Colombia,5,3.9,True
169,"Bautista, Vanegas and Villa",Mexico,13,4.6,True
170,Puentes PLC,Colombia,1,4.5,True
171,Fajardo PLC,Colombia,5,4.1,True
172,"Vergara, García and Osorio",Colombia,6,4.5,True
173,Díaz-Muñoz,Peru,7,4.3,True
174,Rojas-Valencia,Peru,7,4.7,True
175,Castro-Angarita,Peru,3,4.2,True
176,Vargas-García,Chile,4,3.8,True
177,Zambrano Inc,Peru,2,4.2,True
178,Torres-García,Colombia,9,2.2,True
179,"Gómez, Gómez and Vargas",Ecuador,5,4.2,True
180,Trujillo and Sons,Chile,8,1.8,True
181,Ortega Inc,Ecuador,9,3.0,True
182,"Erazo, Restrepo and Muñoz",Colombia,10,4.3,True
183,Pérez-Calderón,Chile,8,4.3,True
184,"Pinzón, Castaño and Pérez",Peru,10,,True
185,González-Rodríguez,Chile,9,3.6,False
186,Escobar-Gamboa,Chile,10,4.8,True
187,Medina-Forero,Colombia,9,3.7,True
188,Vega Ltd,Mexico,5,5.0,True
189,López LLC,Mexico,4,4.0,True
190,"Carvajal, González and Castrillón",Mexico,12,4.2,True
191,Romero Group,Peru,5,5.0,True
192,"Arias, Mora and Herrera",Peru,8,4.1,True
193,Pinto-López,Peru,3,3.4,True
194,Acevedo-Salcedo,Mexico,7,3.9,True
195,"Sánchez, Díaz and Guzmán",Ecuador,8,4.0,True
196,"Ortiz, Montes and Montoya",Colombia,9,3.2,True
197,Restrepo-Luna,Mexico,8,3.8,True
198,"Ortiz, Melo and Serrano",Colombia,6,3.6,True
199,Castro Group,Mexico,14,4.6,True
200,Espinosa PLC,Ecuador,8,4.0,True
201,"Camacho, Quintero and Zapata",Mexico,12,3.8,True
202,Díaz-Rojas,Ecuador,11,3.9,True
203,Herrera-Rangel,Chile,8,4.1,True
204,"Cuéllar, Cortés and Delgado",Peru,13,4.4,True
205,García Ltd,Chile,2,3.4,True
206,Reyes-Uribe,Mexico,13,3.4,True
207,"Acosta, Amaya and Cardona",Peru,12,4.7,True
208,López and Sons,Ecuador,8,3.8,True
209,Aguirre-Suárez,Mexico,11,3.1,True
210,"Arias, Cortés and Herrera",Peru,8,,True
211,"Caicedo, Romero and Cárdenas",Mexico,4,4.3,False
212,Vargas-González,Peru,12,3.1,True
213,Ruiz Ltd,Peru,4,4.1,True
214,"Angarita, Barrios and Ramírez",Chile,5,4.4,True
215,"Ramos, Vanegas and Rendón",Peru,8,4.2,True
216,"Hurtado, Puentes and Roa",Mexico,12,4.4,True
217,Torres-Díaz,Colombia,6,3.2,True
218,Toro and Sons,Colombia,7,4.2,True
219,Gómez-Martínez,Chile,1,3.8,False
220,Benavides-Hernández,Ecuador,2,3.7,True
221,López-Rodríguez,Colombia,1,4.5,True
222,Correa-Mendoza,Chile,2,4.9,False
223,Paz LLC,Peru,13,5.0,True
224,González-Martínez,Mexico,12,4.8,True
225,García-Méndez,Peru,12,3.9,True
226,Sánchez PLC,Mexico,1,4.2,True
227,García-Vargas,Ecuador,2,4.5,True
228,"Cabrera, Calderón and Mercado",Chile,4,4.1,True
229,Guevara Group,Chile,8,4.1,True
230,Gamboa-Jiménez,Colombia,5,4.5,True
231,"Cerón, Suárez and Beltrán",Chile,7,4.0,True
232,"Olaya, López and Castellanos",Ecuador,3,3.6,True
233,"Rojas, Durán and Sánchez",Colombia,11,3.8,True
234,Caicedo and Sons,Peru,5,4.4,False
235,Parra Ltd,Chile,1,4.0,True
236,"Correa, Gómez and Gutiérrez",Peru,11,4.2,True
237,Narváez-Cárdenas,Peru,13,4.4,True
