id_tienda,nom_tienda,tipo_tienda,id_ciudad,id_pais,centro_distribucion,metros_cuadrados,activo,fec_apertura
1,RetailMax Cerro de San Antonio,Supermercado de barrio,Piojó,Colombia,CD Bogota,2681,True,2019-08-06
2,RetailMax Sibaté,Tienda de conveniencia,Castilla la Nueva,Chile,CD Santiago de Chile,7908,True,2021-10-19
3,RetailMax El Carmen de Atrato,Supermercado de barrio,Lloró,Colombia,CD Bogota,3617,True,2019-01-02
4,RetailMax Iles,Supermercado de barrio,Santa Cruz de Mompox,Colombia,CD Bogota,3549,True,2021-01-20
5,RetailMax Santa Helena del Opón,Supermercado de barrio,Mosquera,Peru,CD Bogota,1568,True,2017-06-23
6,RetailMax Concordia,Hipermercado,Cocorná,Ecuador,CD Bogota,7922,True,2020-12-29
7,RetailMax Montería,Tienda de conveniencia,Villa Caro,Colombia,CD Bogota,3243,True,2020-10-30
8,RetailMax El Peñón,Tienda de conveniencia,Tame,Colombia,CD Bogota,1493,True,2021-08-20
9,RetailMax Ambalema,Hipermercado,Fuente de Oro,Colombia,CD Bogota,6794,True,2022-06-01
10,RetailMax Córdoba,Tienda de conveniencia,San Pablo,Peru,CD Bogota,7671,True,2019-03-15
11,RetailMax Puerto Carreño,Hipermercado,Ciénega,Peru,CD Bogota,1830,True,2020-06-19
12,RetailMax Chinavita,Supermercado de barrio,Carurú,Peru,CD Bogota,4778,True,2022-06-20
13,RetailMax Urrao,Tienda de conveniencia,Santa Rosa del Sur,Colombia,CD Bogota,7255,True,2019-01-19
14,RetailMax San Estanislao,Hipermercado,Hatillo de Loba,Colombia,CD Bogota,5351,True,2024-10-14
15,RetailMax Los Córdobas,Hipermercado,San José de Cúcuta,Mexico,CD Ciudad de Mexico,3578,True,2025-03-02
16,RetailMax Filadelfia,Supermercado de barrio,Villahermosa,Colombia,CD Bogota,4653,True,2020-05-24
17,RetailMax Villeta,Supermercado de barrio,Puerto Arica,Colombia,CD Bogota,948,True,2021-11-30
18,RetailMax Anzoátegui,Supermercado de barrio,Villahermosa,Colombia,CD Bogota,7865,True,2019-02-20
19,RetailMax Titiribí,Supermercado de barrio,Bosconia,Chile,CD Santiago de Chile,4177,True,2020-03-22
