id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
1,342035,1285,9,2026-01-06,1,Producto vencido,Tienda fisica,Aprobada,209900.0
2,255475,4961,80,2026-03-19,2,Talla incorrecta,Tienda fisica,Aprobada,12700.0
3,790129,621,100,2026-05-04,1,Error en pedido,Tienda fisica,En proceso,60600.0
4,156825,4848,90,2026-07-16,2,Producto defectuoso,Marketplace,Rechazada,47500.0
5,554031,4720,71,2025-10-02,1,Error en pedido,Tienda fisica,Aprobada,11500.0
6,752840,2963,17,2026-07-09,1,No cumple expectativas,Tienda fisica,Rechazada,58700.0
7,489398,1233,87,2026-03-04,2,Error en pedido,Marketplace,Aprobada,109000.0
8,549209,3068,131,2026-07-19,2,Error en pedido,Tienda fisica,Aprobada,88000.0
9,259615,3730,63,2026-06-15,2,No cumple expectativas,Tienda fisica,Rechazada,146900.0
10,363578,4886,84,2026-08-22,2,No cumple expectativas,Tienda fisica,Aprobada,175000.0
11,318921,715,139,2025-12-07,2,Producto defectuoso,Ecommerce,Aprobada,40700.0
12,196732,51,45,2026-02-10,1,Producto defectuoso,Tienda fisica,Aprobada,75400.0
13,16039,1379,85,2025-11-07,2,No cumple expectativas,Ecommerce,En proceso,36900.0
14,786387,2326,68,2026-03-22,2,Producto defectuoso,Tienda fisica,En proceso,154100.0
15,685829,819,23,2026-08-18,2,Producto vencido,Tienda fisica,En proceso,115900.0
16,331791,1708,95,2026-04-04,1,Talla incorrecta,Ecommerce,Aprobada,51000.0
17,155004,1448,139,2026-06-04,1,Producto defectuoso,Tienda fisica,En proceso,132500.0
18,422030,1875,98,2026-01-30,1,Error en pedido,Tienda fisica,Aprobada,3400.0
19,370933,1151,139,2026-09-05,2,No cumple expectativas,Tienda fisica,Aprobada,151100.0
20,989164,2304,23,2026-07-14,2,No cumple expectativas,Tienda fisica,Aprobada,47700.0
21,690068,3361,74,2026-05-22,2,Talla incorrecta,Ecommerce,Aprobada,60700.0
22,389682,2620,80,2026-07-28,2,No cumple expectativas,Tienda fisica,Aprobada,151900.0
23,297679,344,74,2025-09-27,1,Error en pedido,Marketplace,Aprobada,132300.0
24,251015,1786,122,2026-08-27,1,Error en pedido,Tienda fisica,Aprobada,206900.0
25,934859,1838,38,2026-08-03,2,Talla incorrecta,Ecommerce,En proceso,8100.0
26,416728,3490,25,2026-08-28,2,Error en pedido,Tienda fisica,Aprobada,35100.0
27,958747,1957,136,2026-07-23,1,No cumple expectativas,Tienda fisica,Aprobada,106200.0
28,56509,3870,128,2025-12-28,2,No cumple expectativas,Marketplace,En proceso,200800.0
29,667031,877,4,2025-11-18,2,Producto defectuoso,Marketplace,En proceso,102700.0
30,538126,1063,8,2026-08-22,1,Error en pedido,Tienda fisica,Aprobada,166400.0
31,689044,1932,130,2026-01-01,1,Error en pedido,Tienda fisica,Aprobada,10200.0
32,938968,2719,116,2025-12-29,2,No cumple expectativas,Tienda fisica,En proceso,114100.0
33,287087,615,9,2026-06-17,1,No cumple expectativas,Marketplace,En proceso,129300.0
34,8395,791,69,2025-11-12,2,Error en pedido,Tienda fisica,Aprobada,115600.0
35,482126,2341,34,2026-08-25,2,No cumple expectativas,Tienda fisica,Aprobada,152600.0
36,793549,367,26,2026-04-29,2,Producto defectuoso,Marketplace,Aprobada,176600.0
